Trip ID,User ID
726765,168928
726765,34621
726765,25598
726765,369791
726771,584260
726771,586680
726774,581472
726774,276216
726771,586683
726771,586684
726771,586673
726774,579506
726771,588510
726771,586703
726774,519392
726774,578320
726769,45191
726769,592391
726769,592367
726769,592374
726769,240835
726767,168525
726767,173982
726767,182529
726767,182791
726767,144721
726767,184922
726786,51289
726792,526767
726795,303502
726795,92138
726795,296178
726795,319028
726795,166134
726795,463589
726802,23999
726813,88229
726802,588945
726802,586716
726813,154112
726813,504273
726802,586084
726813,590595
726802,584952
726813,168543
726802,584960
726813,590515
726813,590931
726813,169253
726802,584961
726802,586718
726813,527007
726802,586083
726802,584948
726820,588406
726820,566660
726820,566021
726820,589997
726814,364589
726814,356681
726814,30870
726814,537939
726814,257347
726814,364585
726814,424089
726814,468689
726814,356545
726810,588207
726824,75631
726824,36452
726824,214852
726824,45567
726824,94288
726822,188303
726822,112349
726822,261844
726822,219003
726822,587713
726822,591960
726822,587755
726822,587674
726822,587636
726848,440399
726835,306970
726853,410566
726853,458304
726853,118895
726853,431478
726836,591140
726836,584320
726836,591153
726836,591147
726836,591163
726836,591148
726836,591193
726836,591151
726836,591150
726836,591162
726829,80475
726829,67285
726829,365001
726859,367205
726829,75830
726859,203759
726859,484643
726859,217783
726859,187569
726829,588377
726859,78761
726846,46283
726846,76807
726846,75576
726846,45145
726846,45068
726859,367301
726846,45463
726861,313997
726861,334356
726861,344786
726842,185263
726842,580073
726842,444671
726869,53424
726842,195553
726869,369044
726869,384667
726869,579483
726869,239511
726869,453338
726869,583282
726869,584459
726869,585437
726869,585491
726871,584501
726871,585515
726871,443995
726856,193009
726856,114361
726856,260914
726856,126465
726856,254962
726874,428590
726874,428645
726856,219915
726874,428069
726874,427756
726874,428559
726874,592427
726874,592426
726874,460895
726874,428587
726875,582624
726875,592430
726874,592433
726875,592454
726879,118702
726879,157285
726879,40829
726879,61812
726879,251145
726879,158565
726879,115031
726879,251138
726875,592453
726888,23024
726875,592457
726888,31971
726875,592458
726888,592413
726888,60856
726875,592459
726866,30926
726866,105337
726866,36206
726880,255971
726880,197610
726895,592308
726895,163557
726880,197611
726895,415
726895,254519
